round,revision,suite,benchmark,mean_ns
2,ecobytes,account_extension_subcalls,subcall_1000_same_account/payload=0,189793.6535257667
2,ecobytes,account_extension_subcalls,subcall_1000_nested/payload=0,367626.74163669243
2,ecobytes,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,192708.02911114684
2,ecobytes,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,185808.58486719415
2,ecobytes,account_extension_subcalls,subcall_1000_same_account/payload=32,189491.26329252103
2,ecobytes,account_extension_subcalls,subcall_1000_nested/payload=32,367781.9730270118
2,arc,account_extension_subcalls,subcall_1000_same_account/payload=0,187402.81680454678
2,arc,account_extension_subcalls,subcall_1000_nested/payload=0,365118.57516694156
2,arc,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,186373.13129361888
2,arc,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,184466.6657805626
2,arc,account_extension_subcalls,subcall_1000_same_account/payload=32,179116.79769481384
2,arc,account_extension_subcalls,subcall_1000_nested/payload=32,355455.50817687815
2,bytes,account_extension_subcalls,subcall_1000_same_account/payload=0,173452.45258142689
2,bytes,account_extension_subcalls,subcall_1000_nested/payload=0,335931.53383253864
2,bytes,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,182559.60387323546
2,bytes,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,182524.66209249236
2,bytes,account_extension_subcalls,subcall_1000_same_account/payload=32,174207.9112670158
2,bytes,account_extension_subcalls,subcall_1000_nested/payload=32,334280.30978033197
2,wrapped,account_extension_subcalls,subcall_1000_same_account/payload=0,169647.80779710918
2,wrapped,account_extension_subcalls,subcall_1000_nested/payload=0,332114.1047655736
2,wrapped,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,179779.41274195153
2,wrapped,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,179705.50094044564
2,wrapped,account_extension_subcalls,subcall_1000_same_account/payload=32,169560.2686061991
2,wrapped,account_extension_subcalls,subcall_1000_nested/payload=32,328450.0050274737
3,thinarc,account_extension_subcalls,subcall_1000_same_account/payload=0,186223.76125321395
3,thinarc,account_extension_subcalls,subcall_1000_nested/payload=0,364787.99870238546
3,thinarc,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,187287.254058601
3,thinarc,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,184055.7050497738
3,thinarc,account_extension_subcalls,subcall_1000_same_account/payload=32,189306.32979567174
3,thinarc,account_extension_subcalls,subcall_1000_nested/payload=32,365075.31906445127
3,wrapped,account_extension_subcalls,subcall_1000_same_account/payload=0,170344.55262924175
3,wrapped,account_extension_subcalls,subcall_1000_nested/payload=0,328811.5561041236
3,wrapped,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,179992.572143884
3,wrapped,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,179453.52824114764
3,wrapped,account_extension_subcalls,subcall_1000_same_account/payload=32,171297.47379923676
3,wrapped,account_extension_subcalls,subcall_1000_nested/payload=32,330238.4493086123
3,bytes,account_extension_subcalls,subcall_1000_same_account/payload=0,169274.49687092283
3,bytes,account_extension_subcalls,subcall_1000_nested/payload=0,333083.7996852624
3,bytes,account_extension_subcalls,subcall_1000_transfer_1wei/payload=32,178575.84426547965
3,bytes,account_extension_subcalls,subcall_1000_transfer_1wei/payload=0,178462.1237647062
3,bytes,account_extension_subcalls,subcall_1000_same_account/payload=32,170985.3753906088
