suite,benchmark,candidate,baseline,pairs,median_change_pct,min_change_pct,max_change_pct,bootstrap_low_pct,bootstrap_high_pct
evm,analysis,wrapped,bytes,5,1.490536565020606,-1.4950268514861809,2.9430321287369887,-1.4950268514861809,2.9430321287369887
evm,analysis,thinarc,bytes,5,1.068545014816169,-2.866969960823995,3.7496379429954096,-2.866969960823995,3.7496379429954096
evm,analysis,ecobytes,bytes,5,1.279613159832782,-1.902918494421102,2.500839091375906,-1.902918494421102,2.500839091375906
evm,analysis,arc,bytes,5,-0.398643605702409,-3.2076754186666223,-0.28619374085617766,-3.2076754186666223,-0.28619374085617766
evm,burntpix,wrapped,bytes,5,0.6242918594380642,-2.9045951524683145,4.8491057556093065,-2.9045951524683145,4.8491057556093065
evm,burntpix,thinarc,bytes,5,1.8595143067958952,0.5252993103641579,3.3618917607066923,0.5252993103641579,3.3618917607066923
evm,burntpix,ecobytes,bytes,5,1.502569012288002,0.713835299956922,4.850456350801857,0.713835299956922,4.850456350801857
evm,burntpix,arc,bytes,5,0.9746194287711507,-1.6028736719024939,2.646575073630797,-1.6028736719024939,2.646575073630797
evm,snailtracer,wrapped,bytes,5,2.9557973008426552,-2.275491788569106,4.26793321722343,-2.275491788569106,4.26793321722343
evm,snailtracer,thinarc,bytes,5,3.8580484354213684,1.0663987633839689,4.599140813108615,1.0663987633839689,4.599140813108615
evm,snailtracer,ecobytes,bytes,5,1.756936998716263,-0.6622860362647587,5.480608058767489,-0.6622860362647587,5.480608058767489
evm,snailtracer,arc,bytes,5,0.617583917140685,-2.5188664116307824,1.5748692849402834,-2.5188664116307824,1.5748692849402834
evm,subcall_1000_nested,wrapped,bytes,5,0.3894204162051107,-6.562247310573821,6.639341487253803,-6.562247310573821,6.639341487253803
evm,subcall_1000_nested,thinarc,bytes,5,7.941484933554888,3.299916805423253,10.718170208139588,3.299916805423253,10.718170208139588
evm,subcall_1000_nested,ecobytes,bytes,5,7.311514716552403,0.17049344718960135,12.040920289861523,0.17049344718960135,12.040920289861523
evm,subcall_1000_nested,arc,bytes,5,8.975839362338123,3.797350369486807,10.043481682767164,3.797350369486807,10.043481682767164
evm,subcall_1000_same_account,wrapped,bytes,5,0.5262074084865453,-6.380431310783807,7.551393608077528,-6.380431310783807,7.551393608077528
evm,subcall_1000_same_account,thinarc,bytes,5,8.453622754312807,2.8769779387482375,12.294370055838243,2.8769779387482375,12.294370055838243
evm,subcall_1000_same_account,ecobytes,bytes,5,9.691015026579652,1.7559909334633694,14.173806762200236,1.7559909334633694,14.173806762200236
evm,subcall_1000_same_account,arc,bytes,5,9.596096212233608,2.3378429124225386,12.997555895523183,2.3378429124225386,12.997555895523183
evm,subcall_1000_transfer_1wei,wrapped,bytes,5,-0.18102340563809216,-6.279855647028853,7.02220383268215,-6.279855647028853,7.02220383268215
evm,subcall_1000_transfer_1wei,thinarc,bytes,5,0.032038925492661186,-4.281044849356475,3.257891309158567,-4.281044849356475,3.257891309158567
evm,subcall_1000_transfer_1wei,ecobytes,bytes,5,7.8544421116419905,0.6351002495842417,11.292675746288472,0.6351002495842417,11.292675746288472
evm,subcall_1000_transfer_1wei,arc,bytes,5,9.182334296161754,2.9714908621925273,12.362387166629606,2.9714908621925273,12.362387166629606
