round,revision,suite,benchmark,mean_ns
3,bytes,evm,subcall_1000_nested,360982.09937394236
3,arc,evm,snailtracer,23474508.266666666
3,arc,evm,subcall_1000_transfer_1wei,200841.46936110326
3,arc,evm,subcall_1000_same_account,189412.85004085826
3,arc,evm,burntpix,67115657.2
3,arc,evm,analysis,2017.7551343172267
3,arc,evm,subcall_1000_nested,374689.8544583
3,ecobytes,evm,snailtracer,24050578.733333334
3,ecobytes,evm,subcall_1000_transfer_1wei,196284.43984051753
3,ecobytes,evm,subcall_1000_same_account,188335.92445301992
3,ecobytes,evm,burntpix,66942319.6
3,ecobytes,evm,analysis,2075.2367477518615
3,ecobytes,evm,subcall_1000_nested,361597.5501989024
4,arc,evm,snailtracer,23560944.433333334
4,arc,evm,subcall_1000_transfer_1wei,202375.76794564145
4,arc,evm,subcall_1000_same_account,191036.3388195573
4,arc,evm,burntpix,66522543.96666667
4,arc,evm,analysis,1994.1623198394732
4,arc,evm,subcall_1000_nested,373148.4781259698
4,bytes,evm,snailtracer,24169748.1
4,bytes,evm,subcall_1000_transfer_1wei,186101.94778861533
4,bytes,evm,subcall_1000_same_account,175730.81298998336
4,bytes,evm,burntpix,66187130.333333336
4,bytes,evm,analysis,2000.4176474258722
4,bytes,evm,subcall_1000_nested,344826.4653939082
4,wrapped,evm,snailtracer,23619767.466666665
4,wrapped,evm,subcall_1000_transfer_1wei,186695.47967562525
4,wrapped,evm,subcall_1000_same_account,177559.1006211066
4,wrapped,evm,burntpix,66600331.2
4,wrapped,evm,analysis,2042.625539352441
4,wrapped,evm,subcall_1000_nested,346169.2900506305
4,thinarc,evm,snailtracer,24721939.766666666
4,thinarc,evm,subcall_1000_transfer_1wei,186161.5728530077
4,thinarc,evm,subcall_1000_same_account,185959.77508680834
4,thinarc,evm,burntpix,67912799.83333333
4,thinarc,evm,analysis,2021.7930104729442
4,thinarc,evm,subcall_1000_nested,358033.2532000253
4,ecobytes,evm,snailtracer,24009675.233333334
4,ecobytes,evm,subcall_1000_transfer_1wei,202957.9699731488
4,ecobytes,evm,subcall_1000_same_account,191843.8039222778
4,ecobytes,evm,burntpix,69397508.2
4,ecobytes,evm,analysis,2003.5303749150628
4,ecobytes,evm,subcall_1000_nested,370038.5031577513
