suite,benchmark,baseline,pairs,median_change_pct,min_change_pct,max_change_pct,bootstrap_low_pct,bootstrap_high_pct
bench,Crypto Precompile benchmarks/blake2/64_rounds,main,3,-0.09260227533625098,-0.18738407409729652,0.38875703841358966,-0.18738407409729652,0.38875703841358966
bench,Crypto Precompile benchmarks/blake2/64_rounds,base,3,-0.030192093725489588,-0.03342073580194782,0.10188024567536758,-0.03342073580194782,0.10188024567536758
bench,Crypto Precompile benchmarks/bn254 add precompile,main,3,0.06420184227833303,-0.47116392590540457,0.5546137501221571,-0.47116392590540457,0.5546137501221571
bench,Crypto Precompile benchmarks/bn254 add precompile,base,3,0.10108835475157729,-0.23341980301898602,0.536257531539519,-0.23341980301898602,0.536257531539519
bench,Crypto Precompile benchmarks/bn254 mul precompile,main,3,0.5068618210148257,0.25039920833997975,0.6714261812880151,0.25039920833997975,0.6714261812880151
bench,Crypto Precompile benchmarks/bn254 mul precompile,base,3,0.2708186965835635,-0.19306515180897987,0.614587268026412,-0.19306515180897987,0.614587268026412
bench,Crypto Precompile benchmarks/ecpairing precompile,main,3,1.0155059424652446,0.4672175028350267,1.0883358915027896,0.4672175028350267,1.0883358915027896
bench,Crypto Precompile benchmarks/ecpairing precompile,base,3,0.4430490604917292,0.09965393957478419,0.7693785323262148,0.09965393957478419,0.7693785323262148
bench,Crypto Precompile benchmarks/ecrecover precompile,main,3,-1.163601414909965,-1.852178903989543,0.7471880524392738,-1.852178903989543,0.7471880524392738
bench,Crypto Precompile benchmarks/ecrecover precompile,base,3,1.4728256997117883,-0.434672804457481,2.441680559012638,-0.434672804457481,2.441680559012638
bench,Crypto Precompile benchmarks/g1_msm (size 1),main,3,-0.14475311168996585,-0.16823047938354652,-0.05907235598221483,-0.16823047938354652,-0.05907235598221483
bench,Crypto Precompile benchmarks/g1_msm (size 1),base,3,-0.3585315265267397,-0.8728291183150771,-0.024315220836179652,-0.8728291183150771,-0.024315220836179652
bench,Crypto Precompile benchmarks/g1_msm (size 128),main,3,-0.28773225500021704,-0.8930411366509738,0.4911023401711567,-0.8930411366509738,0.4911023401711567
bench,Crypto Precompile benchmarks/g1_msm (size 128),base,3,0.04405117610659648,0.024597055161135195,0.5291415292717039,0.024597055161135195,0.5291415292717039
bench,Crypto Precompile benchmarks/g1_msm (size 16),main,3,-0.08587770683589069,-0.1644181700369285,0.006116288078250598,-0.1644181700369285,0.006116288078250598
bench,Crypto Precompile benchmarks/g1_msm (size 16),base,3,0.011621125533123333,-0.17971016329905165,0.019762188713823292,-0.17971016329905165,0.019762188713823292
bench,Crypto Precompile benchmarks/g1_msm (size 2),main,3,0.006770255413757198,-0.17251974095483513,0.38424808971315727,-0.17251974095483513,0.38424808971315727
bench,Crypto Precompile benchmarks/g1_msm (size 2),base,3,-0.018894203556363287,-0.24719481924569964,0.43330353457888826,-0.24719481924569964,0.43330353457888826
bench,Crypto Precompile benchmarks/g1_msm (size 256),main,3,-0.10555033675631043,-0.5735647349263573,0.44517673995507767,-0.5735647349263573,0.44517673995507767
bench,Crypto Precompile benchmarks/g1_msm (size 256),base,3,0.31750524026379345,0.13091123923940629,0.3905263130760117,0.13091123923940629,0.3905263130760117
bench,Crypto Precompile benchmarks/g1_msm (size 31),main,3,-0.0133600876571216,-0.19468982978312344,-0.0014637454671229122,-0.19468982978312344,-0.0014637454671229122
bench,Crypto Precompile benchmarks/g1_msm (size 31),base,3,0.03663108163116657,-0.003580937615987878,0.10431899579641524,-0.003580937615987878,0.10431899579641524
bench,Crypto Precompile benchmarks/g1_msm (size 4),main,3,-0.17135124740131902,-0.25392584142462926,0.00010249408541884719,-0.25392584142462926,0.00010249408541884719
bench,Crypto Precompile benchmarks/g1_msm (size 4),base,3,-0.03824726966434877,-0.17549536126965082,0.4156735156451319,-0.17549536126965082,0.4156735156451319
bench,Crypto Precompile benchmarks/g1_msm (size 8),main,3,-0.003551885863839477,-0.09076222343030738,0.05146309818480077,-0.09076222343030738,0.05146309818480077
bench,Crypto Precompile benchmarks/g1_msm (size 8),base,3,-0.0275834958599952,-0.7360611175037279,0.13370060329516154,-0.7360611175037279,0.13370060329516154
bench,Crypto Precompile benchmarks/g2_msm (size 1),main,3,-0.07545189650923767,-0.519483905140572,0.21368094451079678,-0.519483905140572,0.21368094451079678
bench,Crypto Precompile benchmarks/g2_msm (size 1),base,3,0.16658339962967172,0.062129065659699556,0.1893757599836121,0.062129065659699556,0.1893757599836121
bench,Crypto Precompile benchmarks/g2_msm (size 128),main,3,-0.11643669758951702,-0.2945076723085971,0.5531239795863341,-0.2945076723085971,0.5531239795863341
bench,Crypto Precompile benchmarks/g2_msm (size 128),base,3,-0.0019575873901889196,-0.27930063726796517,0.3907538214417805,-0.27930063726796517,0.3907538214417805
bench,Crypto Precompile benchmarks/g2_msm (size 16),main,3,-0.1341010807412113,-0.395966710532103,0.12305453929490895,-0.395966710532103,0.12305453929490895
bench,Crypto Precompile benchmarks/g2_msm (size 16),base,3,0.07421390429040997,-0.1059682480256452,0.14970515085117597,-0.1059682480256452,0.14970515085117597
bench,Crypto Precompile benchmarks/g2_msm (size 2),main,3,-0.18030096952853514,-0.41258526277517804,-0.07391054807184272,-0.41258526277517804,-0.07391054807184272
bench,Crypto Precompile benchmarks/g2_msm (size 2),base,3,0.02743608119646357,0.027387025831737688,0.046939343037899484,0.027387025831737688,0.046939343037899484
bench,Crypto Precompile benchmarks/g2_msm (size 256),main,3,0.14960579629565984,-0.029174887277128025,0.3983405977681098,-0.029174887277128025,0.3983405977681098
bench,Crypto Precompile benchmarks/g2_msm (size 256),base,3,0.38278286301567377,-0.09582940591661426,0.4105039037983538,-0.09582940591661426,0.4105039037983538
bench,Crypto Precompile benchmarks/g2_msm (size 31),main,3,0.1403506021807388,0.06841768307179752,0.15249995408508354,0.06841768307179752,0.15249995408508354
bench,Crypto Precompile benchmarks/g2_msm (size 31),base,3,0.11187705154476202,-0.25860651999147777,0.16675865316464478,-0.25860651999147777,0.16675865316464478
bench,Crypto Precompile benchmarks/g2_msm (size 4),main,3,0.010594037034938886,0.004499168990457214,0.7178530001117789,0.004499168990457214,0.7178530001117789
bench,Crypto Precompile benchmarks/g2_msm (size 4),base,3,-0.0472073454763855,-0.25393334750314356,-0.019940338663282375,-0.25393334750314356,-0.019940338663282375
bench,Crypto Precompile benchmarks/g2_msm (size 8),main,3,0.1016401508241227,0.002106512680377648,0.3256709567435845,0.002106512680377648,0.3256709567435845
bench,Crypto Precompile benchmarks/g2_msm (size 8),base,3,-0.005942429189176313,-0.2506695638431533,0.47696501976675076,-0.2506695638431533,0.47696501976675076
bench,Crypto Precompile benchmarks/kzg precompile,main,3,0.008761685095270977,-0.2035259824996083,0.20110364856087415,-0.2035259824996083,0.20110364856087415
bench,Crypto Precompile benchmarks/kzg precompile,base,3,0.08821869744730648,-0.04359027097502466,0.1959434951434913,-0.04359027097502466,0.1959434951434913
bench,Crypto Precompile benchmarks/kzg verify/arkworks,main,3,0.5752128482203744,0.5197942832965596,0.6726053765854445,0.5197942832965596,0.6726053765854445
bench,Crypto Precompile benchmarks/kzg verify/arkworks,base,3,0.41338952175877797,0.22478866710136103,0.534719822233054,0.22478866710136103,0.534719822233054
bench,Crypto Precompile benchmarks/kzg verify/blst,main,3,0.016853615611567285,-0.4022924536238648,0.395340819606127,-0.4022924536238648,0.395340819606127
bench,Crypto Precompile benchmarks/kzg verify/blst,base,3,-0.05514475813928055,-0.2684214669995355,0.3330820643905108,-0.2684214669995355,0.3330820643905108
bench,Crypto Precompile benchmarks/modexp/marius-1-even,main,3,-5.458534431939133,-8.347087314959921,1.1051754326996566,-8.347087314959921,1.1051754326996566
bench,Crypto Precompile benchmarks/modexp/marius-1-even,base,3,-4.579018052249628,-5.941434609822527,1.1085601105324194,-5.941434609822527,1.1085601105324194
bench,Crypto Precompile benchmarks/modexp/mod_1024_exp_2,main,3,0.6446108048689059,-0.1798189098435543,0.8754945244140444,-0.1798189098435543,0.8754945244140444
bench,Crypto Precompile benchmarks/modexp/mod_1024_exp_2,base,3,0.19297168625920236,-0.4672367963670654,1.1079183471040643,-0.4672367963670654,1.1079183471040643
bench,Crypto Precompile benchmarks/modexp/mod_even_32b_exp_256,main,3,-0.13263303708158647,-1.4123158836019667,0.7975487619217292,-1.4123158836019667,0.7975487619217292
