suite,benchmark,baseline,pairs,median_change_pct,min_change_pct,max_change_pct,bootstrap_low_pct,bootstrap_high_pct
account_extension,account/clone/4096,main,3,331.39293150990403,330.2802382788963,334.7153127618237,330.2802382788963,334.7153127618237
account_extension,account/clone/4096,base,3,331.432553186595,329.004819470185,335.92897893154134,329.004819470185,335.92897893154134
account_extension,account/clone/64,main,3,307.1389497905615,305.52113569379674,326.51713841207794,305.52113569379674,326.51713841207794
account_extension,account/clone/64,base,3,318.5228419604671,314.9118877141465,319.0906268928228,314.9118877141465,319.0906268928228
account_extension,account/clone/65536,main,3,285.5290601936479,274.8628970569607,290.55772888447444,274.8628970569607,290.55772888447444
account_extension,account/clone/65536,base,3,285.81387173477776,276.6654045203822,291.06869008450326,276.6654045203822,291.06869008450326
account_extension,account/copy_without_code/4096,main,3,397.2966112247611,395.6738707330809,397.891473830374,395.6738707330809,397.891473830374
account_extension,account/copy_without_code/4096,base,3,395.8779124640709,395.8253567633018,396.57197411798757,395.8253567633018,396.57197411798757
account_extension,account/copy_without_code/64,main,3,401.11769282645093,399.42761984724973,401.2618467091719,399.42761984724973,401.2618467091719
account_extension,account/copy_without_code/64,base,3,399.41969607908743,390.0678471973394,399.5891118254505,390.0678471973394,399.5891118254505
account_extension,account/copy_without_code/65536,main,3,386.2599288159212,384.6635901171219,387.7674279111384,384.6635901171219,387.7674279111384
account_extension,account/copy_without_code/65536,base,3,383.77782168100293,382.34125387493185,383.99558044307963,382.34125387493185,383.99558044307963
account_extension,account/equal/empty,main,3,7541.368295569069,7485.268935858797,7591.397964820645,7485.268935858797,7591.397964820645
account_extension,account/equal/empty,base,3,7526.190353404519,7470.423593960089,7590.157842951504,7470.423593960089,7590.157842951504
account_extension,account/equal/funded,main,3,7522.337722385111,7482.598553615286,7641.852824985883,7482.598553615286,7641.852824985883
account_extension,account/equal/funded,base,3,7489.144470654949,7466.495400149405,7620.965278235623,7466.495400149405,7620.965278235623
account_extension,account/from_info/empty,main,3,25.696057952936656,24.496306326184047,25.720966799415223,24.496306326184047,25.720966799415223
account_extension,account/from_info/empty,base,3,25.81682138932191,24.681486755167082,25.897631159249435,24.681486755167082,25.897631159249435
account_extension,account/from_info/funded,main,3,43.90921535956935,41.9887550149971,52.47355625936096,41.9887550149971,52.47355625936096
account_extension,account/from_info/funded,base,3,48.76906755477144,42.687881059074414,53.65055515113328,42.687881059074414,53.65055515113328
account_extension,account/hash/empty,main,3,12.551973873650457,12.12011938640536,12.560185319728223,12.12011938640536,12.560185319728223
account_extension,account/hash/empty,base,3,12.563964640513682,12.549854906731394,12.58540805174382,12.549854906731394,12.58540805174382
account_extension,account/hash/funded,main,3,12.53397683946995,12.520162538782852,12.563727951293169,12.520162538782852,12.563727951293169
account_extension,account/hash/funded,base,3,12.61276157782829,12.60733838046606,12.620403429264492,12.60733838046606,12.620403429264492
account_extension,account/is_empty/empty,main,3,13.534700671121392,13.169773661457707,15.038391659858984,13.169773661457707,15.038391659858984
account_extension,account/is_empty/empty,base,3,8.53084739553196,-2.080873355005697,10.880261515977052,-2.080873355005697,10.880261515977052
account_extension,account/is_empty/funded,main,3,0.6391794654229344,-2.3270648170074404,1.0341661023411497,-2.3270648170074404,1.0341661023411497
